id,col,from,to
0,pixel_340,163.0,256.0
0,pixel_341,153.0,256.0
0,pixel_342,155.0,256.0
0,pixel_343,155.0,256.0
0,pixel_344,155.0,256.0
0,pixel_345,150.0,256.0
0,pixel_360,151.0,256.0
0,pixel_361,153.0,256.0
0,pixel_362,153.0,256.0
0,pixel_363,154.0,256.0
0,pixel_364,152.0,256.0
0,pixel_365,144.0,256.0
0,pixel_380,88.0,256.0
0,pixel_381,144.0,256.0
0,pixel_382,152.0,256.0
0,pixel_383,150.0,256.0
0,pixel_384,148.0,256.0
0,pixel_385,138.0,256.0
0,pixel_400,89.0,256.0
0,pixel_401,133.0,256.0
0,pixel_402,151.0,256.0
0,pixel_403,147.0,256.0
0,pixel_404,149.0,256.0
0,pixel_405,137.0,256.0
0,pixel_420,213.0,256.0
0,pixel_421,171.0,256.0
0,pixel_422,136.0,256.0
0,pixel_423,139.0,256.0
0,pixel_424,145.0,256.0
0,pixel_425,138.0,256.0
0,pixel_440,219.0,256.0
0,pixel_441,207.0,256.0
0,pixel_442,123.0,256.0
0,pixel_443,133.0,256.0
0,pixel_444,140.0,256.0
0,pixel_445,136.0,256.0
4,pixel_62,160.0,0.0
4,pixel_63,180.0,0.0
4,pixel_64,189.0,0.0
4,pixel_65,197.0,0.0
4,pixel_66,199.0,0.0
4,pixel_67,190.0,0.0
4,pixel_82,166.0,0.0
4,pixel_83,155.0,0.0
4,pixel_84,121.0,0.0
4,pixel_85,102.0,0.0
4,pixel_86,99.0,0.0
4,pixel_87,112.0,0.0
4,pixel_102,152.0,0.0
4,pixel_103,107.0,0.0
4,pixel_104,92.0,0.0
4,pixel_105,86.0,0.0
4,pixel_106,72.0,0.0
4,pixel_107,81.0,0.0
4,pixel_122,142.0,0.0
4,pixel_123,136.0,0.0
4,pixel_124,141.0,0.0
4,pixel_125,137.0,0.0
4,pixel_126,116.0,0.0
4,pixel_127,103.0,0.0
4,pixel_142,146.0,0.0
4,pixel_143,134.0,0.0
4,pixel_144,101.0,0.0
4,pixel_145,75.0,0.0
4,pixel_146,61.0,0.0
4,pixel_147,67.0,0.0
4,pixel_162,148.0,0.0
4,pixel_163,90.0,0.0
4,pixel_164,98.0,0.0
4,pixel_165,41.0,0.0
4,pixel_166,67.0,0.0
4,pixel_167,97.0,0.0
5,pixel_340,153.0,256.0
5,pixel_341,153.0,256.0
5,pixel_342,155.0,256.0
5,pixel_343,156.0,256.0
5,pixel_344,155.0,256.0
5,pixel_345,154.0,256.0
5,pixel_360,148.0,256.0
5,pixel_361,153.0,256.0
5,pixel_362,156.0,256.0
5,pixel_363,153.0,256.0
5,pixel_364,152.0,256.0
5,pixel_365,146.0,256.0
5,pixel_380,118.0,256.0
5,pixel_381,152.0,256.0
5,pixel_382,153.0,256.0
5,pixel_383,151.0,256.0
5,pixel_384,150.0,256.0
5,pixel_385,142.0,256.0
5,pixel_400,125.0,256.0
5,pixel_401,149.0,256.0
5,pixel_402,150.0,256.0
5,pixel_403,152.0,256.0
5,pixel_404,149.0,256.0
5,pixel_405,133.0,256.0
5,pixel_420,205.0,256.0
5,pixel_421,132.0,256.0
5,pixel_422,143.0,256.0
5,pixel_423,147.0,256.0
5,pixel_424,146.0,256.0
5,pixel_425,127.0,256.0
5,pixel_440,220.0,256.0
5,pixel_441,135.0,256.0
5,pixel_442,137.0,256.0
5,pixel_443,140.0,256.0
5,pixel_444,140.0,256.0
5,pixel_445,136.0,256.0
8,pixel_340,156.0,256.0
8,pixel_341,151.0,256.0
8,pixel_342,156.0,256.0
8,pixel_343,155.0,256.0
8,pixel_344,155.0,256.0
8,pixel_345,152.0,256.0
8,pixel_360,132.0,256.0
8,pixel_361,153.0,256.0
8,pixel_362,155.0,256.0
8,pixel_363,153.0,256.0
8,pixel_364,153.0,256.0
8,pixel_365,146.0,256.0
8,pixel_380,92.0,256.0
8,pixel_381,154.0,256.0
