id,col,from,to
1,pixel_1,138.0,0.0
1,pixel_5,193.0,0.0
1,pixel_7,223.0,256.0
1,pixel_10,225.0,256.0
1,pixel_13,225.0,256.0
1,pixel_14,225.0,256.0
1,pixel_16,226.0,0.0
1,pixel_19,59.0,256.0
1,pixel_28,224.0,0.0
1,pixel_31,224.0,0.0
1,pixel_33,225.0,0.0
1,pixel_41,125.0,0.0
1,pixel_44,201.0,256.0
1,pixel_48,222.0,256.0
1,pixel_51,219.0,0.0
1,pixel_56,225.0,256.0
1,pixel_58,158.0,0.0
1,pixel_79,54.0,256.0
1,pixel_82,165.0,256.0
1,pixel_87,112.0,256.0
1,pixel_96,161.0,0.0
1,pixel_97,209.0,0.0
1,pixel_101,119.0,256.0
1,pixel_107,85.0,256.0
1,pixel_109,161.0,256.0
1,pixel_110,197.0,256.0
1,pixel_112,94.0,256.0
1,pixel_117,168.0,0.0
1,pixel_122,142.0,0.0
1,pixel_125,134.0,0.0
1,pixel_126,112.0,0.0
1,pixel_132,94.0,0.0
1,pixel_139,39.0,0.0
1,pixel_142,146.0,256.0
1,pixel_144,89.0,256.0
1,pixel_151,146.0,256.0
1,pixel_156,101.0,256.0
1,pixel_157,142.0,256.0
1,pixel_166,86.0,0.0
1,pixel_167,123.0,256.0
1,pixel_176,108.0,256.0
1,pixel_181,170.0,0.0
1,pixel_182,168.0,0.0
1,pixel_189,191.0,0.0
1,pixel_190,229.0,256.0
1,pixel_191,214.0,0.0
1,pixel_194,158.0,256.0
1,pixel_198,227.0,0.0
1,pixel_204,174.0,256.0
1,pixel_209,206.0,256.0
1,pixel_210,228.0,256.0
1,pixel_219,152.0,0.0
1,pixel_226,189.0,256.0
1,pixel_229,198.0,256.0
1,pixel_238,219.0,256.0
1,pixel_239,150.0,0.0
1,pixel_252,181.0,0.0
1,pixel_260,128.0,256.0
1,pixel_271,57.0,256.0
1,pixel_273,205.0,0.0
1,pixel_274,222.0,256.0
1,pixel_278,179.0,256.0
1,pixel_285,177.0,0.0
1,pixel_297,173.0,256.0
1,pixel_299,170.0,256.0
1,pixel_308,151.0,0.0
1,pixel_318,172.0,256.0
1,pixel_322,154.0,256.0
1,pixel_329,140.0,256.0
1,pixel_331,170.0,0.0
1,pixel_332,188.0,0.0
1,pixel_333,210.0,256.0
1,pixel_337,178.0,0.0
1,pixel_339,186.0,0.0
1,pixel_340,159.0,256.0
1,pixel_341,153.0,256.0
1,pixel_353,170.0,0.0
1,pixel_362,152.0,256.0
1,pixel_363,152.0,256.0
1,pixel_366,130.0,0.0
1,pixel_368,124.0,256.0
1,pixel_369,110.0,256.0
1,pixel_370,133.0,0.0
1,pixel_374,140.0,0.0
1,pixel_381,147.0,0.0
1,pixel_384,149.0,0.0
1,pixel_391,59.0,256.0
1,pixel_393,83.0,256.0
1,pixel_401,143.0,0.0
1,pixel_403,145.0,256.0
1,pixel_408,125.0,256.0
1,pixel_410,137.0,256.0
1,pixel_415,129.0,256.0
1,pixel_429,62.0,0.0
1,pixel_436,150.0,0.0
1,pixel_437,137.0,0.0
1,pixel_439,223.0,256.0
1,pixel_440,221.0,0.0
1,pixel_441,198.0,256.0
1,pixel_449,135.0,0.0
1,pixel_451,130.0,256.0
1,pixel_453,153.0,0.0
1,pixel_458,220.0,0.0
1,pixel_460,220.0,0.0
1,pixel_461,218.0,0.0
1,pixel_464,130.0,256.0
1,pixel_473,126.0,0.0
1,pixel_477,162.0,0.0
1,pixel_480,181.0,256.0
1,pixel_486,136.0,0.0
1,pixel_493,145.0,0.0
1,pixel_497,177.0,256.0
1,pixel_502,142.0,0.0
1,pixel_503,133.0,256.0
1,pixel_505,133.0,0.0
1,pixel_506,136.0,0.0
1,pixel_508,147.0,0.0
1,pixel_510,176.0,0.0
1,pixel_513,174.0,256.0
1,pixel_521,109.0,256.0
1,pixel_526,130.0,256.0
1,pixel_532,152.0,256.0
1,pixel_533,153.0,0.0
1,pixel_539,123.0,0.0
1,pixel_548,127.0,256.0
1,pixel_553,122.0,256.0
1,pixel_555,126.0,0.0
1,pixel_557,167.0,256.0
3,pixel_5,192.0,0.0
3,pixel_8,224.0,256.0
3,pixel_10,225.0,0.0
3,pixel_11,225.0,256.0
3,pixel_12,225.0,0.0
3,pixel_13,225.0,256.0
3,pixel_14,225.0,256.0
3,pixel_19,67.0,0.0
3,pixel_25,207.0,256.0
3,pixel_27,224.0,256.0
3,pixel_28,224.0,0.0
3,pixel_39,80.0,0.0
3,pixel_50,223.0,256.0
3,pixel_58,159.0,256.0
3,pixel_64,200.0,256.0
3,pixel_66,206.0,0.0
3,pixel_67,198.0,256.0
3,pixel_76,223.0,0.0
3,pixel_84,140.0,0.0
3,pixel_93,93.0,256.0
3,pixel_94,86.0,256.0
3,pixel_104,87.0,0.0
3,pixel_112,94.0,256.0
3,pixel_117,165.0,256.0
3,pixel_118,148.0,256.0
3,pixel_124,133.0,256.0
3,pixel_127,99.0,256.0
3,pixel_129,186.0,256.0
3,pixel_144,116.0,256.0
3,pixel_152,80.0,256.0
3,pixel_172,99.0,256.0
3,pixel_173,109.0,0.0
3,pixel_180,53.0,0.0
3,pixel_181,169.0,0.0
3,pixel_184,123.0,256.0
3,pixel_186,128.0,256.0
3,pixel_192,174.0,256.0
3,pixel_195,126.0,0.0
3,pixel_197,210.0,256.0
3,pixel_201,174.0,256.0
3,pixel_204,160.0,256.0
3,pixel_209,201.0,0.0
3,pixel_211,218.0,0.0
3,pixel_225,182.0,0.0
3,pixel_233,207.0,256.0
3,pixel_235,213.0,0.0
3,pixel_236,224.0,256.0
3,pixel_237,226.0,256.0
3,pixel_260,125.0,256.0
3,pixel_269,97.0,256.0
3,pixel_272,168.0,256.0
3,pixel_276,203.0,256.0
3,pixel_282,162.0,0.0
3,pixel_285,183.0,0.0
3,pixel_286,187.0,0.0
3,pixel_288,108.0,256.0
3,pixel_297,176.0,256.0
3,pixel_302,159.0,0.0
