id,col,from,to
0,pixel_3,203.0,0.0
0,pixel_5,214.0,256.0
0,pixel_13,226.0,0.0
0,pixel_22,183.0,0.0
0,pixel_27,224.0,256.0
0,pixel_28,226.0,256.0
0,pixel_52,226.0,0.0
0,pixel_54,225.0,256.0
0,pixel_72,214.0,256.0
0,pixel_74,217.0,0.0
0,pixel_80,109.0,0.0
0,pixel_84,197.0,256.0
0,pixel_86,212.0,0.0
0,pixel_88,180.0,0.0
0,pixel_91,210.0,256.0
0,pixel_96,210.0,256.0
0,pixel_100,92.0,0.0
0,pixel_104,179.0,0.0
0,pixel_106,167.0,256.0
0,pixel_107,114.0,0.0
0,pixel_111,189.0,256.0
0,pixel_114,80.0,256.0
0,pixel_129,99.0,0.0
0,pixel_132,83.0,256.0
0,pixel_133,81.0,0.0
0,pixel_137,160.0,0.0
0,pixel_140,112.0,256.0
0,pixel_141,168.0,256.0
0,pixel_142,164.0,256.0
0,pixel_144,143.0,0.0
0,pixel_146,84.0,0.0
0,pixel_162,162.0,256.0
0,pixel_166,58.0,256.0
0,pixel_169,148.0,0.0
0,pixel_177,154.0,256.0
0,pixel_186,117.0,256.0
0,pixel_188,154.0,256.0
0,pixel_203,177.0,0.0
0,pixel_209,179.0,0.0
0,pixel_213,180.0,256.0
0,pixel_218,171.0,0.0
0,pixel_225,193.0,256.0
0,pixel_233,191.0,256.0
0,pixel_238,203.0,256.0
0,pixel_245,204.0,0.0
0,pixel_250,174.0,0.0
0,pixel_252,190.0,0.0
0,pixel_254,205.0,0.0
0,pixel_260,172.0,256.0
0,pixel_271,127.0,256.0
0,pixel_272,121.0,256.0
0,pixel_277,180.0,256.0
0,pixel_292,88.0,256.0
0,pixel_293,137.0,256.0
0,pixel_294,193.0,256.0
0,pixel_299,225.0,256.0
0,pixel_309,152.0,256.0
0,pixel_310,147.0,256.0
0,pixel_312,134.0,0.0
0,pixel_315,204.0,0.0
0,pixel_335,215.0,0.0
0,pixel_336,189.0,0.0
0,pixel_340,165.0,256.0
0,pixel_341,165.0,0.0
0,pixel_343,158.0,256.0
0,pixel_351,159.0,0.0
0,pixel_356,179.0,0.0
0,pixel_367,164.0,0.0
0,pixel_369,175.0,0.0
0,pixel_374,158.0,256.0
0,pixel_379,226.0,256.0
0,pixel_380,153.0,256.0
0,pixel_382,157.0,256.0
0,pixel_391,96.0,256.0
0,pixel_397,164.0,256.0
0,pixel_415,117.0,256.0
0,pixel_417,168.0,0.0
0,pixel_436,140.0,0.0
0,pixel_440,118.0,0.0
0,pixel_443,155.0,256.0
0,pixel_452,73.0,256.0
0,pixel_457,201.0,256.0
0,pixel_469,103.0,0.0
0,pixel_470,92.0,0.0
0,pixel_474,97.0,256.0
0,pixel_475,127.0,0.0
0,pixel_480,129.0,256.0
0,pixel_481,150.0,0.0
0,pixel_487,135.0,0.0
0,pixel_490,150.0,256.0
0,pixel_491,148.0,256.0
0,pixel_505,147.0,0.0
0,pixel_512,119.0,0.0
0,pixel_513,131.0,0.0
0,pixel_516,175.0,0.0
0,pixel_530,124.0,256.0
0,pixel_534,130.0,0.0
0,pixel_536,182.0,0.0
0,pixel_539,202.0,256.0
0,pixel_540,163.0,256.0
0,pixel_541,162.0,256.0
0,pixel_544,123.0,0.0
0,pixel_548,132.0,256.0
0,pixel_549,128.0,256.0
0,pixel_550,118.0,256.0
0,pixel_552,99.0,256.0
0,pixel_553,99.0,256.0
0,pixel_554,117.0,0.0
0,pixel_555,123.0,0.0
1,pixel_2,131.0,0.0
1,pixel_10,225.0,256.0
1,pixel_17,220.0,0.0
1,pixel_23,154.0,256.0
1,pixel_25,175.0,256.0
1,pixel_26,182.0,0.0
1,pixel_44,166.0,0.0
1,pixel_47,213.0,256.0
1,pixel_50,221.0,0.0
1,pixel_53,225.0,256.0
1,pixel_57,223.0,0.0
1,pixel_59,67.0,0.0
1,pixel_65,190.0,256.0
1,pixel_71,219.0,0.0
1,pixel_76,224.0,256.0
1,pixel_78,150.0,0.0
1,pixel_80,63.0,256.0
1,pixel_81,46.0,256.0
1,pixel_82,108.0,256.0
1,pixel_84,167.0,256.0
1,pixel_85,177.0,0.0
1,pixel_87,176.0,256.0
1,pixel_88,169.0,0.0
1,pixel_96,168.0,0.0
1,pixel_98,141.0,0.0
1,pixel_99,57.0,256.0
1,pixel_101,47.0,256.0
1,pixel_104,146.0,0.0
1,pixel_106,85.0,256.0
1,pixel_108,92.0,0.0
1,pixel_114,82.0,0.0
1,pixel_120,50.0,256.0
1,pixel_124,115.0,256.0
1,pixel_125,118.0,0.0
1,pixel_127,102.0,256.0
1,pixel_129,102.0,0.0
1,pixel_130,161.0,0.0
1,pixel_131,202.0,256.0
1,pixel_144,140.0,256.0
1,pixel_149,110.0,256.0
1,pixel_152,99.0,0.0
1,pixel_155,49.0,0.0
1,pixel_159,45.0,0.0
1,pixel_170,172.0,0.0
1,pixel_171,226.0,0.0
1,pixel_185,128.0,0.0
1,pixel_187,122.0,0.0
1,pixel_192,215.0,0.0
1,pixel_199,143.0,256.0
1,pixel_208,178.0,0.0
1,pixel_212,224.0,256.0
1,pixel_213,217.0,256.0
1,pixel_215,218.0,0.0
1,pixel_219,162.0,0.0
1,pixel_223,161.0,256.0
1,pixel_224,169.0,256.0
1,pixel_228,180.0,256.0
1,pixel_231,224.0,0.0
1,pixel_239,170.0,256.0
1,pixel_240,133.0,0.0
1,pixel_247,183.0,0.0
1,pixel_262,160.0,256.0
1,pixel_266,164.0,0.0
1,pixel_267,133.0,0.0
1,pixel_268,136.0,0.0
1,pixel_274,133.0,0.0
1,pixel_278,178.0,0.0
1,pixel_297,131.0,256.0
1,pixel_301,164.0,256.0
1,pixel_304,141.0,256.0
1,pixel_316,110.0,256.0
1,pixel_317,126.0,256.0
1,pixel_318,133.0,0.0
1,pixel_322,161.0,256.0
1,pixel_325,124.0,0.0
1,pixel_332,155.0,256.0
1,pixel_343,147.0,256.0
1,pixel_345,132.0,0.0
1,pixel_346,131.0,0.0
1,pixel_348,109.0,0.0
1,pixel_349,95.0,0.0
1,pixel_363,143.0,256.0
1,pixel_368,57.0,256.0
1,pixel_374,62.0,256.0
1,pixel_379,192.0,256.0
1,pixel_385,140.0,256.0
1,pixel_386,122.0,256.0
1,pixel_393,105.0,256.0
1,pixel_394,110.0,0.0
1,pixel_395,111.0,256.0
1,pixel_401,223.0,0.0
1,pixel_417,138.0,0.0
1,pixel_418,154.0,0.0
1,pixel_419,222.0,256.0
1,pixel_422,198.0,0.0
1,pixel_426,139.0,256.0
1,pixel_429,132.0,0.0
1,pixel_431,110.0,0.0
1,pixel_434,152.0,0.0
1,pixel_442,183.0,0.0
1,pixel_447,150.0,0.0
1,pixel_449,137.0,0.0
1,pixel_456,175.0,0.0
1,pixel_464,121.0,256.0
1,pixel_466,136.0,0.0
1,pixel_467,150.0,0.0
1,pixel_468,151.0,256.0
1,pixel_469,151.0,256.0
1,pixel_473,203.0,0.0
1,pixel_477,145.0,256.0
1,pixel_478,177.0,256.0
1,pixel_481,110.0,0.0
1,pixel_483,156.0,256.0
1,pixel_487,138.0,256.0
1,pixel_492,204.0,256.0
1,pixel_501,108.0,256.0
1,pixel_523,159.0,256.0
1,pixel_535,122.0,256.0
1,pixel_542,153.0,0.0
2,pixel_0,162.0,0.0
2,pixel_5,218.0,0.0
2,pixel_10,226.0,0.0
2,pixel_20,136.0,256.0
2,pixel_22,175.0,0.0
2,pixel_31,226.0,256.0
2,pixel_33,226.0,0.0
2,pixel_36,229.0,0.0
2,pixel_39,150.0,0.0
2,pixel_42,165.0,0.0
2,pixel_44,210.0,0.0
2,pixel_46,215.0,0.0
2,pixel_47,203.0,256.0
2,pixel_64,201.0,0.0
2,pixel_72,206.0,0.0
2,pixel_73,204.0,0.0
2,pixel_74,222.0,256.0
2,pixel_84,182.0,256.0
2,pixel_85,187.0,0.0
2,pixel_87,178.0,256.0
2,pixel_89,160.0,256.0
2,pixel_91,202.0,256.0
2,pixel_93,175.0,256.0
2,pixel_94,160.0,256.0
2,pixel_97,211.0,256.0
2,pixel_115,87.0,0.0
2,pixel_121,170.0,0.0
2,pixel_128,86.0,0.0
2,pixel_131,186.0,0.0
2,pixel_133,84.0,0.0
2,pixel_135,97.0,256.0
2,pixel_136,130.0,256.0
2,pixel_137,174.0,256.0
2,pixel_149,117.0,0.0
2,pixel_151,232.0,256.0
2,pixel_167,84.0,256.0
2,pixel_169,158.0,0.0
2,pixel_174,91.0,0.0
2,pixel_176,86.0,0.0
2,pixel_184,150.0,256.0
2,pixel_185,131.0,256.0
2,pixel_186,122.0,0.0
2,pixel_190,197.0,0.0
2,pixel_194,122.0,256.0
2,pixel_195,107.0,0.0
2,pixel_201,178.0,256.0
2,pixel_206,176.0,0.0
2,pixel_209,177.0,256.0
2,pixel_216,197.0,256.0
2,pixel_227,207.0,0.0
2,pixel_246,220.0,256.0
2,pixel_247,205.0,256.0
2,pixel_249,172.0,0.0
2,pixel_253,163.0,256.0
2,pixel_254,209.0,256.0
2,pixel_266,209.0,256.0
2,pixel_273,153.0,0.0
2,pixel_275,218.0,0.0
2,pixel_291,99.0,0.0
2,pixel_295,191.0,0.0
2,pixel_296,201.0,256.0
2,pixel_303,158.0,0.0
2,pixel_313,205.0,0.0
2,pixel_315,196.0,0.0
2,pixel_324,159.0,256.0
2,pixel_328,210.0,0.0
2,pixel_330,159.0,256.0
2,pixel_338,195.0,0.0
2,pixel_340,167.0,0.0
2,pixel_342,159.0,0.0
2,pixel_356,174.0,0.0
2,pixel_357,159.0,256.0
2,pixel_369,169.0,256.0
2,pixel_374,199.0,0.0
2,pixel_377,158.0,0.0
2,pixel_383,161.0,0.0
2,pixel_394,111.0,0.0
2,pixel_405,157.0,0.0
2,pixel_411,153.0,0.0
2,pixel_412,160.0,256.0
2,pixel_426,144.0,0.0
2,pixel_430,132.0,256.0
2,pixel_432,133.0,0.0
2,pixel_438,226.0,256.0
2,pixel_444,152.0,256.0
2,pixel_447,128.0,0.0
2,pixel_451,81.0,256.0
2,pixel_454,114.0,256.0
2,pixel_456,148.0,0.0
2,pixel_466,138.0,256.0
2,pixel_468,113.0,256.0
2,pixel_472,66.0,256.0
2,pixel_486,137.0,256.0
2,pixel_492,116.0,256.0
2,pixel_496,160.0,256.0
2,pixel_500,160.0,0.0
2,pixel_502,137.0,256.0
2,pixel_503,151.0,0.0
2,pixel_507,140.0,256.0
2,pixel_513,137.0,0.0
2,pixel_516,129.0,0.0
2,pixel_522,125.0,256.0
2,pixel_523,138.0,256.0
2,pixel_525,141.0,0.0
2,pixel_529,129.0,256.0
2,pixel_533,132.0,256.0
2,pixel_546,133.0,0.0
2,pixel_554,141.0,256.0
2,pixel_558,201.0,256.0
2,pixel_559,204.0,256.0
5,pixel_2,189.0,256.0
5,pixel_4,191.0,0.0
5,pixel_7,216.0,0.0
5,pixel_8,216.0,0.0
5,pixel_15,218.0,0.0
5,pixel_17,167.0,0.0
5,pixel_25,207.0,0.0
5,pixel_31,224.0,0.0
5,pixel_34,224.0,0.0
5,pixel_36,215.0,256.0
5,pixel_38,54.0,256.0
5,pixel_45,220.0,256.0
5,pixel_50,217.0,256.0
5,pixel_52,215.0,256.0
5,pixel_53,221.0,0.0
5,pixel_58,56.0,0.0
5,pixel_61,161.0,0.0
5,pixel_67,205.0,0.0
5,pixel_70,213.0,256.0
5,pixel_74,213.0,0.0
5,pixel_76,222.0,256.0
5,pixel_77,176.0,0.0
5,pixel_79,79.0,256.0
5,pixel_86,164.0,256.0
5,pixel_87,157.0,0.0
5,pixel_98,51.0,256.0
5,pixel_114,89.0,0.0
5,pixel_116,135.0,0.0
5,pixel_122,135.0,0.0
5,pixel_126,98.0,0.0
5,pixel_137,157.0,256.0
5,pixel_141,166.0,256.0
5,pixel_143,132.0,0.0
5,pixel_144,80.0,256.0
5,pixel_157,143.0,256.0
5,pixel_158,124.0,0.0
5,pixel_172,83.0,256.0
5,pixel_174,96.0,0.0
5,pixel_185,131.0,256.0
5,pixel_192,135.0,0.0
5,pixel_195,102.0,0.0
5,pixel_204,143.0,0.0
5,pixel_210,229.0,256.0
5,pixel_212,180.0,256.0
5,pixel_219,87.0,0.0
